field,value,fiscal_year,currency
total_revenue,5158003.82,2024,USD
gross_profit,986655.82,2024,USD
operating_expenses,471695.46,2024,USD
operating_income,514960.36,2024,USD
ebitda,718685.18,2024,USD
depreciation_amortization,203724.82,2024,USD
interest_expense,106783.5,2024,USD
income_before_tax,408176.86,2024,USD
tax_expense,96493.77,2024,USD
net_income,311683.09,2024,USD
total_assets,10216995.01,2024,USD
current_assets,4691511.48,2024,USD
cash_and_equivalents,1363207.94,2024,USD
accounts_receivable,1250462.45,2024,USD
inventory,1917151.04,2024,USD
total_liabilities,4763716.05,2024,USD
current_liabilities,2069150.77,2024,USD
long_term_debt,1612772.66,2024,USD
total_equity,5453278.96,2024,USD
operating_cash_flow,761614.5,2024,USD
investing_cash_flow,-506354.95,2024,USD
financing_cash_flow,-224948.11,2024,USD
free_cash_flow,255259.55,2024,USD
debt_to_equity,0.87,2024,USD
current_ratio,2.27,2024,USD
debt_to_ebitda,6.63,2024,USD
interest_coverage_ratio,4.82,2024,USD
gross_margin,0.19,2024,USD
ebitda_margin,0.14,2024,USD
net_margin,0.06,2024,USD
balance_sheet_check,True,2024,USD
